,rates
AED,3.945022
AFN,97.738984
ALL,115.729919
AMD,425.240568
ANG,1.934086
AOA,541.666167
ARS,204.282765
AUD,1.547019
AWG,1.935987
AZN,1.824754
BAM,1.950068
BBD,2.166798
BDT,112.336788
BGN,1.954179
BHD,0.404831
BIF,2229.741445
BMD,1.074057
BND,1.419406
BOB,7.41539
BRL,5.66071
BSD,1.073129
BTC,4.881944e-05
BTN,88.533218
BWP,13.936922
BYN,2.708697
BYR,21051.508825
BZD,2.163109
CAD,1.444364
CDF,2197.519855
CHF,0.990601
CLF,0.031154
CLP,859.621099
CNY,7.282854
COP,5102.71389
CRC,624.863766
CUC,1.074057
CUP,28.462499
CVE,110.574265
CZK,23.694758
DJF,190.881051
DKK,7.442911
DOP,60.415389
DZD,146.247702
EGP,32.760234
ERN,16.110849
ETB,57.574793
EUR,1.0
FJD,2.343597
FKP,0.888264
GBP,0.885989
GEL,2.868167
GGP,0.888264
GHS,13.076632
GIP,0.888264
GMD,65.62631
GNF,9465.131541
GTQ,8.417729
GYD,226.430983
HKD,8.431548
HNL,26.443655
HRK,7.563719
HTG,161.909619
HUF,386.887005
IDR,16263.525733
ILS,3.754064
IMP,0.888264
INR,88.682219
IQD,791.579694
IRR,45405.742147
ISK,151.141581
JEP,0.888264
JMD,165.650566
JOD,0.761933
JPY,141.310346
KES,134.469859
KGS,93.195643
KHR,4403.632227
KMF,492.616383
KPW,966.598172
KRW,1357.30664
KWD,0.328457
KYD,0.894258
KZT,485.232111
LAK,18189.14843
LBP,16379.362537
LKR,392.234397
LRD,168.844726
LSL,19.064419
LTL,3.17141
LVL,0.649686
LYD,5.140013
MAD,10.99888
MDL,20.180474
MGA,4634.554311
MKD,61.475718
MMK,2253.603163
MNT,3766.630707
MOP,8.676844
MRO,383.438012
MUR,48.704582
MVR,16.496893
MWK,1101.480545
MXN,20.164016
MYR,4.634014
MZN,68.557166
NAD,19.064804
NGN,494.571009
NIO,39.149047
NOK,10.919998
NPR,141.653468
NZD,1.697101
OMR,0.412932
PAB,1.073129
PEN,4.143172
PGK,3.786073
PHP,58.625268
PKR,289.512236
PLN,4.756034
PYG,7802.047926
QAR,3.910909
RON,4.890934
RSD,117.313813
RUB,78.449216
RWF,1157.832985
SAR,4.030678
SBD,8.841319
SCR,15.19848
SDG,628.32348
SEK,11.11597
SGD,1.423603
SHP,1.479403
SLE,21.142836
SLL,21164.284593
SOS,610.60855
SRD,34.630803
STD,22230.802544
SVC,9.390255
SYP,2698.605204
SZL,19.064217
THB,36.055921
TJS,11.132663
TMT,3.769939
TND,3.332261
TOP,2.360447
TRY,20.222344
TTD,7.284178
TWD,32.354346
TZS,2512.218202
UAH,39.439571
UGX,3935.173065
USD,1.074057
UYU,41.955039
UZS,12206.65263
VEF,2530146.994766
VES,25.540811
VND,25315.513419
VUV,126.035501
WST,2.888402
XAF,654.009429
XAG,0.048909
XAU,0.000577
XCD,2.902692
XDR,0.799719
XOF,655.695914
XPF,119.623038
YER,268.863223
ZAR,19.104083
ZMK,9667.795671
ZMW,20.652679
ZWL,345.845778
